id,description
275,"Torrentshell pants - They're lightweight, waterproof and breathable: Our new Torrentshell Pants keep you singing in the rain when the thunderstorms boom. The simple pull-on style has an elastic drawcorded waistband, articulated knees and three zippered pockets (two handwarmer, one back hip). The zippered lower legs have adjustable hook-and-loop cuffs, and the pants stuff into the back pocket (with carabiner clip-in loop).<br><br><b>Details:</b><ul> <li>2.5-layer fabric with waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish</li> <li>Elasticized self-fabric waistband with internal drawcord - pulls on for easy use</li> <li>""Pockets: secure zippered handwarmers, secure zippered back pocket - all with DWR-treated zippers and storm flaps""</li> <li>Articulated knees</li> <li>""Adjustable, self-fabric hook-and-loop closure at ankle with flapped, DWR-treated zipper to the knee""</li> <li>Pants stow in back pocket</li></ul><br><br><b>Fabric: </b>""2.5-layer, 2.6-oz 50-denier 100% nylon ripstop with a waterproof/breathable H2No barrier and a Deluge DWR finish""<br><br><b>Weight: </b>(233 g 8.1 oz)<br><br>Made in China."
276,"Trampoli t-shirt - Take your commute to higher ground with the Trampoli T-Shirt. Artist Nikki McClure's take on creative transportation is printed on organic cotton (100%) using PVC- and phthalate-free inks. The slightly-shaped tee has an athletic, classic boy fit and features a traditional crew neck. Taped shoulder seams and ringspun fabric yarns lend a soft finish. The lightweight tee is recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in USA."
277,"Cap 4 zip neck - Keep your furnace stoked when temperatures nose-dive in our warmest synthetic baselayer. Capilene 4 features a smooth jersey face that slips easily beneath layers and an interior grid that traps precious warmth, wicks perspiration, and breathes. Stretchy and compressible, with a snug-fitting collar and a deep zipper with zipper garage and draft flap to help block cold. Raglan sleeves won't chafe beneath pack straps. Made from 5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Our warmest baselayer fabric, Capilene 4 offers great stretch, breathability and compressibility""</li> <li>""Interior grid wicks moisture, trims bulk and provides warmth""</li> <li>Smooth jersey face slides easily beneath layers</li> <li>Zip-neck for easy climate control is backed by draft flap and zipper garage</li> <li>Raglan sleeve seams won't chafe beneath straps</li> <li>Drop-tail hem</li></ul><br><br><b>Fabric: </b>""5.3-oz Polartec Power Dry 93% polyester (50% recycled)/7% spandex, with Gladiodor natural odor control for the garment. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(175 g 6.1 oz)<br><br>Made in Costa Rica."
278,"Corinne dress - After a day of Rivermouth's glassy offshore, slide on the Corinne Dress for shrimp tacos at the harbor. Featuring a deep V-neck with wide straps, the dress has an effortless drape, and is made from stretchy, quick-dry fabric (86% nylon/14% spandex) for an active disposition. A supportive double bodice with flattering shirred detail uplifts; front panel inset helps with contouring. Hem falls above the knee.<br><br><b>Details:</b><ul> <li>""Stretchy, soft, synthetic jersey knit""</li> <li>Wide straps and flattering V-front detail</li> <li>Supportive double bodice with shirring for shaping</li> <li>Front panel inset for contouring</li> <li>Hem falls above the knee</li></ul><br><br><b>Fabric: </b>7-oz 86% nylon/14% spandex smooth-faced jersey knit with moisture-wicking performance<br><br><b>Weight: </b>(311 g 10.8 oz)<br><br>Made in Colombia."
279,"Cotton fleece hoody - When Central Coast nights turn on the chill factor, layer up with the soft and stretchy Cotton Fleece Hoody. Made of 95% organic cotton fleece with a touch of stretch (5% spandex), the lightweight jacket is cut long and pairs nicely with jeans or a dress. The full front zipper, contoured hood and handwarmer pockets preserve warmth. A wide, 4"" rib at the hem and cuffs helps maintain the streamlined  fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Made from cozy soft cotton fleece with stretch</li> <li>Contoured hood for warmth</li> <li>Full front zipper and handwarmer pockets</li> <li>""Wide 4"""" rib at hem and cuffs""</li></ul><br><br><b>Fabric: </b>7.6-oz 95% organic cotton fleece/5% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(395 g 13.7 oz)<br><br>Made in Turkey."
280,"Nano puff p/o - The most versatile piece of insulation we make, our Nano Puff is weather-resistant enough to wear as an insulated shell in a wet snowstorm, trim enough to pull on for chilly rock pitches (and still see your footholds), and warm enough for light belay parka duty on quick alpine dashes. The wind-blocking, moisture-shedding DWR (durable water repellent) finished, 100% recycled polyester shell also glides effortlessly, whether worn as an outer or midlayer. Low-bulk, hydrophobic, highly compressible PrimaLoft One (60-g) traps heat with remarkable efficiency, even when wet. Stuffs into its own chest pocket (with carabiner clip-in loop). Elasticized cuffs and hem seal out wind and trap warmth. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Versatile 60-gram PrimaLoft One polyester insulation provides excellent warmth and compressibility</li> <li>Ultralight face fabric sheds water with a DWR (durable water repellent) treatment and blocks wind</li> <li>Deep center-front zipper allows for easy ventilation</li> <li>Stuffs into a self-storage left chest pocket</li> <li>Elasticized cuff and hem seal out wind and trap warmth</li></ul><br><br><b>Fabric: </b>Shell and lining: 1-oz 15-denier 100% all-recycled polyester with a DWR (durable water repellent) finish. Insulation: 60-g PrimaLoft One. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>232 g (8.2 oz)<br><br>Made in Vietnam."
281,"Nine trails jkt - The Nine Trails Jacket is for women whose idea of entertainment has everything to do with lung-busting mountain passes, and nothing to do with reality TV shows. Made from lightweight, wind-resistant 15-denier 100% nylon, it's treated with a Deluge DWR (durable water repellent) finish to shed light rain. Its exceptionally breathable stretch-woven back and underarm panels (91% all-recycled polyester/9% spandex) vent excess heat. The high-rise tricot-lined neck, revised wrists (now with improved elastic-style cuffs that are easily pushed up) and drawcord at the hem seal out chilly weather. The jacket stashes into its own internal chest pocket. Reflective heat-transfer logos (front and back) keep you visible.<br><br><b>Details:</b><ul> <li>""Light, slightly transparent, tough, triple-ripstop nylon soft shell on torso, arms and shoulders, and breathable recycled polyester stretch-woven fabric on back and underarms; jacket has Deluge DWR (durable water repellent) finish for weather protection""</li> <li>Jacket stuffs into internal chest pocket</li> <li>Improved fit on lower sleeve and soft-shell fabric removed - sleeves are easily pushed up over forearms</li> <li>Drawcord at hem keeps wind out</li> <li>Reflective heat-transfer logos (front and back)</li> <li>Can be worn over baselayers and light midlayers</li></ul><br><br><b>Fabric: </b>Body: 1.1-oz 15-denier 100% nylon with 50-denier triple-ripstop. Back and underarm panels: 3.5-oz 75-denier stretch woven 91% all-recycled polyester/9% spandex. Jacket has Deluge DWR finish<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in Vietnam."
282,"Down sweater vest - Impossible to confuse with the sweater vests found at golf courses and bingo parlors, ours comes packed with ultra-toasty 800-fill down that traps heat in alpine conditions. It has a minimalist design that practically floats, and is so compact it stuffs into its own mesh-lined internal pocket (with carabiner clip-in loop). The innovative, superlight polyester shell (100% recycled) provides wind and water protection as well as a high tear-strength; quilted baffles stabilize the down. With zippered handwarmer pockets and a drawcord hem.<br><br><b>Details:</b><ul> <li>""Superlight, windproof and water-resistant shell has high tear-strength""</li> <li>Quilted construction stabilizes premium 800-fill-power goose down insulation</li> <li>""Pockets: zippered handwarmers and one internal, zippered stretch-mesh that doubles as a stuff sack; with carabiner clip-in loop""</li> <li>Elastic binding at armholes</li> <li>Drawcord hem</li></ul><br><br><b>Fabric: </b>Shell and lining: 1.4-oz 22-denier 100% all-recycled polyester with Deluge DWR (durable water repellent) finish. Insulation: 800-fill-power premium European goose down<br><br><b>Weight: </b>206 g (7.3 oz)<br><br>Made in China."
283,"Drift shirt - All epic tales of the West begin with a drifter - many were women in search of big skies and a freer life. The Drift Shirt's feminine, high-plains styling includes a delicate collar and a front placket and patch pockets with snaps. The shirt's all-recycled polyester/organic cotton (65%/35%) open-weave fabric is durable and stays cool under pressure. Contouring front and back princess seams; slits at cuffs and hem for venting. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Feminine, open-weave fabric construction""</li> <li>Durable organic cotton/all-recycled polyester blend</li> <li>""Delicate collar, front placket with snaps""</li> <li>Princess seaming front and back for contoured fit</li> <li>Front patch pockets with snap closures</li> <li>Slits at cuffs and hem for venting</li></ul><br><br><b>Fabric: </b>2.8-oz 65% all-recycled polyester/35% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>150 g (5.3 oz)<br><br>Made in Thailand."
284,"Duway skirt - Everyone knows it's what's inside that counts. Beneath this silky, sanded 100% polyester skirt (40% recycled) is a built-in pair of shorts. The travel-friendly fabric is treated with a DWR (durable water repellent) finish that drapes gracefully, dries quickly, and resists wrinkles. Updated fit this season, with a center-back shaping dart and flattering hip seams, the skirt has a more classic, feminine fit. Zippered side vents allow mobility. With a discreet front zip pocket and a waist-to-hem length of 17"" (size 8). Built-in shorts inseam is 3"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Sanded 100% polyester microfiber with DWR (durable water repellent) finish</li> <li>""Slight styling update, same great fit""</li> <li>""Flattering seams at hip, and shaping dart at center back""</li> <li>Front security pocket on right seam</li> <li>Zippered side vents for increased mobility</li> <li>""Built-in 3"""" shorts for modesty""</li> <li>""Length 17"""" from waist to hem""</li></ul><br><br><b>Fabric: </b>4.1-oz 100% polyester (40% recycled) microfiber with DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(178 g 6.2 oz)<br><br>Made in Vietnam."
285,"Ester top - Throw on the Ester Top for a quick surf check - its low-maintenance style makes it a favorite summer go-to blouse. Made of light and airy organic cotton, the sleeveless top's V-neck styling and open hem cool things down. Seam detailing at the neck and hem lend feminine flair; side seam pockets stash tide charts. The versatile hip length gives you options. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Light and airy organic cotton lawn</li> <li>""V-neck, sleeveless top""</li> <li>Seam detailing at neck and hem</li> <li>Pockets on side seams</li></ul><br><br><b>Fabric: </b>2.2-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(95 g 3.3 oz)<br><br>Made in Thailand."
286,"Freedom to roam t-shirt - Global warming and habitat destruction have made the need for animals to migrate between shifting habitats urgent - the difference between migrating and remaining within fixed boundaries is the difference between life and extinction. The Freedom to Roam initiative strives to connect North America's critical habitats to ensure the survival of large mammals. Five dollars from the sale of each shirt will go to the cause. Original artwork by Jay Ryan. Made of supersoft, 100% organic-cotton jersey and recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in USA."
287,"Girona board shorts - Evoking the Spanish province they were named for, the Girona Board Shorts were born to skin dive and paddle the clear Mediterranean waters of the Costa Brava. The additional length of the Girona boardies provides extra protection from sun, chafe and salt rash. A snap fly with flat tie closure offers a secure fit; the zippered, welted thigh pocket has a drain hole and key loop. Inseam (size 8) is 12"". Made from a strong and stretchy blend of 93% polyester (100% recycled)/7% spandex. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Stretch-woven recycled polyester and spandex fabric for maximum mobility and comfort</li> <li>Snap fly with flat tie closure for secure fit</li> <li>Zippered welted pocket on hem with drain hole and key loop</li> <li>Low rise</li> <li>""Inseam is 12""""""</li></ul><br><br><b>Fabric: </b>5.4-oz 93% all-recycled polyester/7% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(173 g 6 oz)<br><br>Made in Vietnam."
288,"North coast t-shirt - The North Coast T-Shirt speaks of days secluded from all but conversations with waves and crows. Cut paper artist Nikki McClure's work appears on a canvas of supersoft organic cotton. The slightly-shaped tee has an athletic, classic boy fit and features a traditional crew neck. Taped shoulder seams and ringspun fabric yarns add comfort. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in USA."
289,"Owlin around t-shirt - The Owlin' Around T-Shirt is a wise choice for flights of fancy that take you out on a limb. Artist Jason Stowell's design is printed on 100% ringspun organic cotton using PVC- and phthalate-free inks. The lightweight shirt's Anika fit features a longer torso that's form-fitting, shorter sleeves and wide, deep neckline. Taped shoulder seams are extra soft. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Ringspun yarns for a softer hand</li> <li>Taped shoulder seams</li> <li>Screen-print inks are PVC- and phthalate-free</li></ul><br><br><b>Fabric: </b>4.4-oz 100% organic cotton. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in USA."
290,"Pinback top - Release your inner locomotion with the action-inspired Pinback. The open-back design lets you move unchecked; soft straps tie at the neck for unlimited adjustability and a dynamic fit. A cool blend of 90% organic cotton/10% spandex glides lightly on skin, stretches with each move, and supports without hindering mobility. A hidden empire-line fabric band adds support; the full-length cut protects your torso. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Features a blend of organic cotton and spandex; airy and lightweight for total mobility without sacrificing support</li> <li>Crossover V-neck design is flattering and increases mobility; open back allows dynamic motion; empire-line fabric band adds support</li> <li>Full-length design provides midtorso coverage</li></ul><br><br><b>Fabric: </b>6.2-oz 90% organic cotton jersey/10% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(103 g 3.6 oz)<br><br>Made in Thailand."
291,"Print adour btm - Adours have a slightly scooped, low-rise front (lined) and medium coverage in back. Our improved fabric blend is made of 82% nylon/18% spandex.<br><br><b>Details:</b><ul> <li>Medium coverage</li> <li>Lined front</li> <li>Slightly scooping front</li> <li>Low rise</li> <li>Improved fabric</li></ul><br><br><b>Fabric: </b>5.6-oz 82% nylon/18% spandex<br><br><b>Weight: </b>(43 g 1.5 oz)<br><br>Made in USA."
292,"Hotline top - As your mind embraces the challenge of that sinister-looking hand crack, give your limbs freedom to flow in the supersoft Hotline Top, made from an airy combination of 90% organic cotton and 10% stretchy spandex. With a cleanly finished scoop neck, spaghetti-style straps that stay put, and the steadfast support of a brushed-elastic internal shelf bra. Long enough in the torso to provide full coverage with low-rise styles. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Fabric combination is airy and light for maximum mobility and support</li> <li>Cleanly finished seams with thin shoulder straps</li> <li>Internal shelf bra with brushed elastic for support</li> <li>Hip length</li></ul><br><br><b>Fabric: </b>6.2-oz 90% organic cotton/10% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(144 g 5 oz)<br><br>Made in Thailand."
293,"Houdini full-zip jkt - Now you see it, now you don't. Just like the sun on blustery days, our ultralight, ultrapackable Houdini can shed fickle weather and then disappear when the skies clear - yet it's breathable enough to keep on as you crank through the next squall. The textured triple-ripstop nylon fabric proves surprisingly tough, while the Deluge DWR (durable water repellent) finish wards off flurries six pitches from the deck. The lower-volume hood snugs around the face and head three-dimensionally with a single-pull system. The jacket stuffs into its own out-of-the-way pocket, which has a secure zipper closure and a burly-strong carabiner clip-in loop. With a drawcord hem.  <br><br><b>Details:</b><ul> <li>""Highly breathable, incredibly light textured soft-shell fabric has a strong, triple ripstop pattern and a subtle, slightly transparent appearance; Deluge DWR (durable water repellent) finish""</li> <li>DWR-coated center-front zipper</li> <li>""Zippered exterior chest pocket doubles as a stuff sack, with a reinforced carabiner clip loop""</li> <li>Hood opening and field-of-vision adjustment in one pull</li> <li>""Elastic cuffs, drawcord hem""</li> <li>May be worn over baselayers and light midlayers</li> <li>Reflective heat-transfer logo</li></ul><br><br><b>Fabric: </b>1-oz 15-denier 100% nylon ripstop with Deluge DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(115 g 4 oz)<br><br>Made in China."
294,"Inga shortie - Short boards and short shorts liven up any shore break. The Inga Shortie is made from soft, sturdy organic cotton canvas, and with a 2"" inseam, they're about the shortest shorts we make. Slim-fitting, five-pocket jean styling and topstitching keep it simple. Other details include a low-rise shaped waistband, belt loops, zip fly and button closure. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>""Soft, sturdy organic cotton canvas""</li> <li>Shaped waistband with belt loops; zip fly with logo shank button closure</li> <li>Five-pocket-jean styling and topstitching</li> <li>Low rise</li> <li>""Inseam is 2""""""</li></ul><br><br><b>Fabric: </b>8.7-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(242 g 8.4 oz)<br><br>Made in Thailand."
295,"Vasana top - The stretchy, sleeveless Vasana offers more shoulder coverage than a tank but still meets the far-reaching demands of the next granite ledge or overhead bin. The slightly cut shoulders are flattering and functional. Made of a 90% organic cotton/10% spandex blend with delicate yoke detail and princess seams for a contoured, hip-length fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Fabric combination is airy and light for maximum mobility and support</li> <li>Versatile sleeveless top with feminine yoke detail</li> <li>Princess seaming front and back for shaping and contouring</li> <li>Hip length</li></ul><br><br><b>Fabric: </b>6.2-oz 90% organic cotton/10% spandex. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>167 g (5.9 oz)<br><br>Made in Thailand."
296,"Versatili-tee - At the top of the T-shirt food chain, the Versatili-Tee has satin-stitch finishing and a sensuous drape that humbles the competition. The plaited blend of organic cotton and Tencel has a soft hand and natural stretch. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Plaited organic cotton and Tencel fabric is soft and comfy</li> <li>Crew neck</li></ul><br><br><b>Fabric: </b>5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(126 g 4.4 oz)<br><br>Made in Thailand."
297,"Versatiliti cardi - A summer-weight cardigan for the woman who studies abroad one month; crags, surfs and lives out of her car the next. This versatile, low-maintenance sweater is made from a soft 62% organic cotton/38% Tencel plaited jersey that places the moisture-wicking Tencel next to the skin. Wear it layered or solo. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Plaited organic cotton and Tencel fabric is soft and comfy</li> <li>Summer-weight cardigan sweater to layer over or under</li> <li>""Small, feminine buttons down center front""</li> <li>Hip length</li></ul><br><br><b>Fabric: </b>5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(184 g 6.4 oz)<br><br>Made in Thailand."
298,Versatiliti tank - Vivid colors and delicate details enliven this season's crop of Versatiliti Tanks. Made of a lightweight blend of 62% organic cotton/38% Tencel that line-dries over night. It has a flattering V-neck and slightly gathered shoulders with a center back seam for a contoured fit. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Plaited organic cotton/Tencel fabric is soft and comfy</li> <li>Flattering V-neck</li> <li>Delicate gathers at shoulder seam for drape</li></ul><br><br><b>Fabric: </b>5.5-oz 62% organic cotton/38% Tencel plaited jersey. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(112 g 3.9 oz)<br><br>Made in Thailand.
299,"Active boy shorts - We've worn these versatile, feminine boy shorts as on-the-fly bathing suit bottoms, to Bikram yoga class, as sleepwear - their functionality is limitless. Low-rise Active Boy Shorts are tube-constructed to eliminate chafing side seams, and their soft, technical fabric breathes and wicks moisture to keep you comfortable and dry. We've shortened the flat waistband in front for a fit that won't roll or bind; stretchy shaped openings at legs are newly redesigned with less fabric to minimize bunching. Solids and prints: 4.6-oz 93% nylon/7% spandex.<br><br><b>Details:</b><ul> <li>""Ultrasoft, lightweight fabric with stretch and moisture management""</li> <li>Seamless construction</li> <li>""Waistband and shaped leg openings lie flat, won't roll or bind for well deserved comfort and mobility""</li></ul><br><br><b>Fabric: </b>""4.6-oz 93% nylon/7% spandex, with moisture-wicking performance""<br><br><b>Weight: </b>(31 g 1.1 oz)<br><br>Made in Israel."
300,"Active briefs - Whether you're beating the heat in Bali or skinning up your favorite cirque, these ultrasoft, lightweight briefs provide exceptional stretch and moisture-management for keeping you comfortable and dry. They also glide easily beneath layers. A seamless waistband lies flat and won't roll or bind; newly redesigned single-sided leg binding stays put and is low-profile. With a breathable mini-rib crotch. Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 93% polyester (58% recycled)/7% spandex.<br><br><b>Details:</b><ul> <li>""Ultrasoft, lightweight fabric with stretch and moisture management""</li> <li>""Seamless waistband lies flat, won't roll or bind, breathable mini-rib crotch, soft, single-sided binding at leg openings wont chafe or creep""</li></ul><br><br><b>Fabric: </b>Solids and prints: 4.6-oz 96% nylon/4% spandex. Stripes: 5.6-oz 94% polyester (58% recycled)/7% spandex. All with moisture-wicking performance<br><br><b>Weight: </b>(28 g 1 oz)<br><br>Made in Israel."
301,"Active classic cami - Worn under a dry top or as a base layer when topping 14,000 feet; the form-fitting Active Classic Cami will toe the line on any expedition. The 360-degree built-in shelf bra and adjustable shoulder straps won't slip or dig into your skin. The tank's supersoft nylon/spandex fabric blend (94%/6%) and seamless tube construction prevent chafing. Longer torso coverage pairs well with low-rise styles.<br><br><b>Details:</b><ul> <li>Supersoft nylon/spandex blend for next-to-skin comfort</li> <li>Seamless construction</li> <li>""360-degree shelf bra with adjustable, nonslip shoulder straps""</li> <li>""Appropriate length for pairing with low-rise style pants, shorts or skirts""</li></ul><br><br><b>Fabric: </b>4.6-oz 94% nylon/6% spandex with moisture-wicking performance<br><br><b>Weight: </b>(72 g 2.5 oz)<br><br>Made in Israel."
302,"All-time shell - Since rain is recycled we figure raincoats should be recyclable too. This one is. Made of 100% recycled polyester, the All-Time is equipped with all the technical features that keep you dry in a downpour: a waterproof/breathable H2No barrier with a Deluge DWR (durable water repellent) finish, removable 2-way-adjustable hood, microfleece-lined collar, snap cuffs, 2-way front zip with storm flap and snaps, drawcord hem, water-resistant zippered handwarmer pockets and a vertical internal pocket. The below-hip-length shell has contoured styling for a feminine fit. Recyclable through the Common Threads Recycling Program. <br><br><b>Details:</b><ul> <li>2.5-layer all-recycled-polyester shell repels rain and blocks wind</li> <li>""Removable, 2-way-adjustable hood""</li> <li>2-way front zip with double storm-flap and snaps</li> <li>Collar lined in cozy microfleece for next-to-skin comfort</li> <li>Water-repellent handwarmer pockets have invisible zippers; vertical mesh-lined internal pocket</li> <li>""Snap cuffs, drawcord hem""</li> <li>Just-below-hip length</li></ul><br><br><b>Fabric: </b>""2.5-layer, 4.2-oz 100% all-recycled polyester with a waterproof/breathable H2No barrier and Deluge DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program""<br><br><b>Weight: </b>(447 g 15.5 oz)<br><br>Made in China."
303,"All-wear capris - Capris are more discreet than shorts, cooler than pants and more festive than either. Made from a rugged but supple, lightweight 100% organic cotton canvas, that's available in solids and plaids, All-Wears have a flat front and a low-rise waistband shaped for a feminine fit. With two slanted front pockets and two welted rear pockets. Vented hem. The 17"" inseam (size 8) hits below the knee. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Organic cotton canvas</li> <li>Zip fly with double-button closure on shaped waistband</li> <li>Slanted front pockets and welted back pockets</li> <li>Regular rise</li> <li>""Inseam (size 8) is 17""""""</li></ul><br><br><b>Fabric: </b>5.2-oz 100% organic cotton canvas. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(256 g 8.9 oz)<br><br>Made in Thailand."
304,"All weather capris - Worthy of your best Downward Facing Dog, comfortable on the journey from produce aisle to hatchback, and breathable enough for running and riding - All-Weather Capris suit today's multi-tasking lifestyle. They have a knit fabric (86% polyester/14% spandex) that's fitted through the hips and thighs, then straight to just below the knee. A flat, flattering low-rise waistband uses minimal elastic for greater comfort. The gusseted crotch makes movement easy; a crossover security pocket at the right hip holds keys, an ID card or lip balm. Inseam (size M) is 18"" and hits just below the knee. A reflective heat-transfer logo and graphics keep you visible.<br><br><b>Details:</b><ul> <li>""Supple, durable, knit fabric that's highly breathable""</li> <li>""Flat, flattering low-rise waistband uses minimal elastic for greater comfort""</li> <li>Crossover security pocket at right hip</li> <li>Fitted through hip and thigh; straight leg</li> <li>Reflective heat-transfer logo and graphics</li> <li>""18"""" inseam; hits just below the knee""</li></ul><br><br><b>Fabric: </b>8.4-oz 86% polyester/14% spandex<br><br><b>Weight: </b>(204 g 7.1 oz)<br><br>Made in Vietnam."
305,"Inter-continental pants - reg - You'll like the flattering drape of these lightweight pants made from a stretch-woven blend of 52% nylon/48% polyester. The fabric recovers quickly from prolonged sittings and has a DWR (durable water repellent) finish that sheds water. For extra versatility, the legs roll up to a capri length and fasten with snap closures. With two front slant pockets and one back security pocket. Regular rise; inseam (size 8) is 31"". Recyclable through the Common Threads Recycyling Program.<br><br><b>Details:</b><ul> <li>""Mechanical stretch-woven fabric with DWR (durable water repellent) finish; 1"""" waistband (with belt loops)""</li> <li>Zip fly with button closure</li> <li>Quarter-top front pockets; zippered welted back pockets</li> <li>Forward-angled side seams</li> <li>Legs fasten with self-fabric tab and snap for capri length</li> <li>Regular rise</li> <li>""Inseam is 31""""""</li></ul><br><br><b>Fabric: </b>4.5-oz 52% nylon/48% polyester with DWR finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>274 g (9.7 oz)<br><br>Made in Vietnam."
306,"Inter-continental shorts - If you time an ascent of Irene's Arete right, you'll get back in time for a dip in Jenny Lake and your Inter-Continental Shorts will be dry by the time you get to Dornan's Bar. The soft, durable 52% nylon/48% polyester blend has a DWR (durable water repellent) finish that resists wrinkles and dries quickly. The seamless waistband is pack-friendly; hems are wide. With two front pockets and two rear security pockets. Inseam (size 8) is 11"". Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Mechanical stretch-woven fabric with DWR (durable water repellent) finish</li> <li>""1"""" waistband (with belt loops); zip fly with button closure""</li> <li>Quarter-top front pockets; zippered welted back pockets</li> <li>Forward-angled side seams</li> <li>Regular rise</li> <li>""Inseam is 11""""""</li></ul><br><br><b>Fabric: </b>4.5-oz 52% nylon/48% polyester with DWR (durable water repellent) finish. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(210 g 7.3 oz)<br><br>Made in Vietnam."
307,"Island hemp dress - The soft hand of the Island Hemp Dress is a welcome reprieve after a day of bumping through the saw-toothed rocks of Meat Grinder. Made from a summer-weight blend of organic cotton and hemp (45%/55%), the slim-fitting dress is bias cut with flattering seaming at the hip for contouring and mobility. With a lined bodice, bra-friendly contrast straps and back button closure; hem falls below the knee. Recyclable through the Common Threads Recycling Program.<br><br><b>Details:</b><ul> <li>Summer-weight blend of organic cotton and hemp</li> <li>Bias-cut to ensure drape and contouring</li> <li>""Lined bodice, contrast strap detail, back button closure""</li> <li>Flattering seaming at hip for mobility</li> <li>Hem falls below knee</li></ul><br><br><b>Fabric: </b>4-oz 55% hemp/45% organic cotton plain weave. Recyclable through the Common Threads Recycling Program<br><br><b>Weight: </b>(204 g 7.1 oz)<br><br>Made in China."
